Code,Location,Latitude,Longitude
11111,Dhaka,23.7666666666667,90.3833333333333
41909,Tangail,24.25,89.9166666666667
10609,Mymensingh,24.7166666666667,90.4333333333333
11505,Faridpur,23.6,89.85
11513,Madaripur,23.1666666666667,90.1833333333333
10724,Srimangal,24.3,91.7333333333333
10705,Sylhet,24.9,91.8833333333333
10408,Bogra,24.85,89.3666666666667
10120,Dinajpur,25.65,88.6833333333333
10910,Ishurdi,24.1333333333333,89.05
10320,Rajshahi,24.3666666666667,88.7
10208,Rangpur,25.7333333333333,89.2333333333333
41858,Sydpur,25.7833333333333,88.8833333333333
41926,Chuadanga,23.65,88.8666666666667
11407,Jessore,23.1833333333333,89.1666666666667
11604,Khulna,22.7833333333333,89.5333333333333
41958,Mongla,22.3333333333333,89.6
11610,Satkhira,22.7166666666667,89.0833333333333
11704,Barisal,22.75,90.3333333333333
11706,Bhola,22.6833333333333,90.65
12110,Khepupara,21.9833333333333,90.2333333333333
12103,Patuakhali,22.3333333333333,90.3333333333333
11316,Chandpur,23.2666666666667,90.7
41977,Ambagan(Ctg),22.35,91.8166666666667
11921,Chittagong,22.2666666666667,91.8166666666667
11313,Comilla,23.4333333333333,91.1833333333333
11927,Cox'sBazar,21.4333333333333,91.9333333333333
11805,Feni,23.0333333333333,91.4166666666667
11814,Hatiya,22.4333333333333,91.1
11925,Kutubdia,21.8166666666667,91.85
11809,M.court,22.8666666666667,91.1
12007,Rangamati,22.5333333333333,92.2
11916,Sandwip,22.4833333333333,91.4333333333333
11912,Sitakunda,22.5833333333333,91.7
11929,Teknaf,20.8666666666667,92.3
